id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
2085	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	R1	Research University	(US)		Psychology 	No	No	None					US			
2086	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Research Institute	Other			Psychology 	No	No	None					US			
2087	Faculty	7	16	Post-Doctoral	13.5	Faculty	7	16	Faculty	16	Male	Research Institute	Other			Psychology 	No	Private	None					US			
2088	Administration	10	26.5	Administration	26.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College			English	Yes	Yes	Yes								
2089	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Psychology 	Unknown	Unknown	None								
2090	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R2	Research University			Psychology 	Yes	Yes	Yes								
2091	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College			Art	No	No	None								
2092	Tenured Professor	9	24	Tenured Professor	24	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College			Art	Yes	Yes	Yes								
2093	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Undergraduate Student	3	2	Undergraduate Student	2	Unknown	R1	Research University			Marketing	Unknown	Unknown	None								
2094	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University				Unknown	Unknown	Unknown								
2095	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Unknown	Research University			Philosophy	Unknown	Unknown	None								
2096	Staff	6	14.5	Staff	14.5	Staff	6	14.5	Staff	14.5	Male	Research Institute	Other			Science	Unknown	Unknown	Unknown								
2097	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work			Sociology	Unknown	Unknown	None								
2098	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College				Yes	Yes	None								
2099	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Female	R1	Research University	Chapel Hill, North Carolina	University of North Carolina - Chapel Hill	English	Unknown	Unknown	None			Chapel Hill	North Carolina	US	27514		
2100	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Ann Arbor, Michigan	University of Michigan	Law	No	No	None			Ann Arbor	Michigan	US	48109		
2101	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Curriculum Studies	Unknown	Unknown	Unknown								
2102	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	University of California	Research University	San Diego, California	University of California - San Diego	History	Yes	Yes	Unknown			San Diego	California	US	92093		
2103	Undergraduate Student	3	2	Undergraduate Student	2	Undergraduate Student	3	2	Undergraduate Student	2	Male	Other University	Research University	Toronto, Ontario	York University	Political Science	No	No	None			Toronto	Ontario	Canada	M3J	M3J	
2104	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			Art History	Unknown	Unknown	None								
2105	Tenured Professor	9	24	Associate Professor	24.5	Administration	10	26.5	Administration	26.5	Female	R1	Research University	Denton, Texas	University of North Texas	Psychology 	Yes	Yes	None			Denton	Texas	US	76201		
2106	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	College Park, Maryland	University of Maryland - College Park	N/A	Unknown	Unknown	Unknown			College Park	Maryland	US	20742		
2107	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University				Unknown	Unknown	Unknown								
2108	Faculty	7	16	Lecturer	16.5	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University			English	No	No	None								
2109	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	(US)		Philosophy	No	No	None					US			
2110	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Physics	Unknown	Unknown	None								
2111	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Graduate Student	4	6	Graduate Student	6	Male	Big Ten	Research University	Columbus, Ohio	Ohio State University	Environmental Studies	Unknown	Unknown	Unknown			Columbus	Ohio	US	43202		
2112	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Baton Rouge, Louisiana	Louisiana State University	Geography	Yes	Yes	None			Baton Rouge	Louisiana	US	70802		
2113	Staff	6	14.5	Professional	17	Administration	10	26.5	Administration	26.5	Male	R2	Research University			Research Ethics	No	No	None								
2114	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Sociology	Unknown	Unknown	Unknown								
2115	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College	Hamden, Connecticut	Quinnipiac University		Yes	Yes	None			Hamden	Connecticut	US	06518		
2116	Faculty	7	16	Post-Doctoral	13.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University	Durham, North Carolina	Duke University	Biology	Yes	Yes	Yes			Durham	North Carolina	US	27705		
2117	Staff	6	14.5	Intern / Applicant	9	Administration	10	26.5	Management	26	Male	Other University	Research University			Psychology 	Yes	Yes	None								
2118	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Chemistry	No	No	None								
2119	Faculty	7	16	Lecturer	16.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			Foreign Languages	Yes	Yes	None								
2120	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			English	Unknown	Unknown	None								
2121	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Faculty	7	16	Faculty	16	Male	R1	Research University			English	No	No	None								
2122	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Anthropology	Unknown	Unknown	None								
2123	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	R2	Research University	Portland, Oregon	Portland State University	Interdisciplinary 	No	No	None			Portland	Oregon	US	97201		
2124	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	Italian	No	No	None			Berkeley	California	US	94709		
2125	Tenured Professor	9	24	Associate Professor	24.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Conference	Conference & Field Work			Business 	Unknown	Unknown	Unknown								
2126	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			English	Unknown	Unknown	None								
2127	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College				Yes	Yes	Yes								
2128	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University			Classics	Unknown	Unknown	Unknown	would be too identifying	would be too identifying						
2129	Staff	6	14.5	Staff	14.5	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	Cambridge, Massachusetts	Harvard University	Ecology	Yes	Yes	Unknown			Cambridge	Massachusetts	US	02138		
2130	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University	Seattle, Washington	University of Washington	Management	No	No	None			Seattle	Washington	US	98105		
2131	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University	Williamsburg, Virginia	College of William and Mary	Interdisciplinary 	No	No	None			Williamsburg	Virginia	US	23185		
2132	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Lecturer	16.5	Male	R2	Research University			Science	Unknown	Unknown	Unknown								
2133	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	Venice, Italy	Ca' Foscari University of Venice	Asian Languages And Culture	Unknown	Unknown	Unknown			Venice	Veneto	Italy	30123	30123	
2134	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	R1	Research University	St. Louis, Missouri	Washington University - St. Louis	French	Unknown	Unknown	None			St. Louis	Missouri	US	63105		
2135	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	New Brunswick, New Jersey	Rutgers University - New Brunswick	Genetics	Yes	Yes	None			New Brunswick	New Jersey	US	08933		
2136	Staff	6	14.5	Staff	14.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Architecture	No	No	None								
2137	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Social Sciences	Yes	Yes	None								
2138	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University				Unknown	Unknown	Unknown								
2139	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University	New York, New York	Columbia University	English	Yes	Yes	None			New York	New York	US	10027		
2140	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R2	Research University			English	No	No	None								
2141	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			English,  Sociology	Unknown	Unknown	None								
2142	Unknown	0	0	Unknown	0	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University	Chicago, Illinois			Yes	Yes	None			Chicago	Illinois	US	74070		
2143	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Russell Group	Research University	London, England	King's College London	Literature	Unknown	Unknown	None			London	England	UK	WC2R	WC2R	
2144	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University				No	No	None								
2145	Faculty	7	16	Faculty	16	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Neuroscience	No	Private	None								
2146	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Neuroscience	No	No	None								
2147	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			English	Unknown	Unknown	None								
2148	Staff	6	14.5	Staff	14.5	Tenured Professor	9	24	Tenured Professor	24	Other	University of California	Research University	Berkeley, California	University of California - Berkeley	Art History	No	No	None			Berkeley	California	US	94709		
2149	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University			English	Unknown	Unknown	Unknown								
2150	Faculty	7	16	Faculty	16	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	U15	Research University	London, Ontario	University of Western Ontario	English	Unknown	Unknown	None			London	Ontario	Canada	N6G	N6G	
2151	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Washington, DC		History	Unknown	Unknown	None			Washington	DC	US			
2152	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Faculty	16	Male	R1	Research University	Norman, Oklahoma	University of Oklahoma	English 	Unknown	Unknown	Unknown			Norman	Oklahoma	US	73019		
2153	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Seattle, Washington	University of Washington	Social Sciences	Yes	Yes	None			Seattle	Washington	US	98105		
2154	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Science	Unknown	Unknown	Unknown								
2155	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Science	Unknown	Unknown	Unknown								
2156	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Marketing	Yes	Yes	Yes								
2157	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Marketing	Unknown	Unknown	None								
2158	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Information Science	Yes	Yes	None								
2159	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College	Wellesley, Massachusetts	Wellesley College	Medicine	Unknown	Unknown	None			Wellesley	Massachusetts	US	02482		
2160	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Notre Dame, Indiana	University of Notre Dame	Music	No	No	None			Notre Dame	Indiana	US	46556		
2161	Faculty	7	16	Post-Doctoral	13.5	Administration	10	26.5	Administration	26.5	Male	University of California	Research University	Davis, California	University of California - Davis	Administration 	Yes	Yes	None			Davis	California	US	95616		
2162	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Male	Small Liberal Arts College	Other College	Indianapolis, Indiana	Butler University	[Refuse to Answer]	Unknown	Unknown	Unknown			Indianapolis	Indiana	US	46208		
2163	Student	2	1.5	Student	1.5	Student	2	1.5	Student	1.5	Male	R1	Research University	Tallahassee, Florida	Florida State University		Yes	Yes	None			Tallahassee	Florida	US	32306		
2164	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Public Policy 	No	No	None								
2165	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Administration	10	26.5	Management	26	Male	R1	Research University	Buffalo, New York	University at Buffalo	Communication 	Unknown	Unknown	None			Buffalo	New York	US	14228		
2166	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Boston, Massachusetts	Northeastern University	Psychology 	Unknown	Private	None			Boston	Massachusetts	US	02115		
2167	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	Cambridge, Massachusetts	Harvard University	American Studies	Yes	Yes	None			Cambridge	Massachusetts	US	02138		
2168	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Science	Yes	Yes	Unknown	York University							
2169	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Other University	Research University			Spanish	Yes	Yes	None								
2170	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College	Redlands, California	University of Redlands	Spanish	Unknown	Unknown	Unknown	University of North Carolina - Chapel Hill	University of Redlands	Redlands	California	US	92374		
2171	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University	Philadelphia, Pennsylvania		Communication 	Unknown	Unknown	None			Philadelphia	Pennsylvania	US	58103		
2172	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College				No	No	None								
2173	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Abilene, Texas	Abilene Christian University	Psychology 	Unknown	Unknown	None			Abilene	Texas	US	79699		
2174	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University			Business 	No	Private	None								
2175	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	Ivy League	Research University	Ithaca, New York	Cornell University	Computer Science	Unknown	Unknown	None			Ithaca	New York	US	14850		
2176	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Other University	Research University				Unknown	Unknown	None								
2177	Tenured Professor	9	24	Associate Professor	24.5	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			Library	Yes	Yes	None								
2178	Undergraduate Student	3	2	Undergraduate Student	2	Undergraduate Student	3	2	Undergraduate Student	2	Male	R2	Research University	Reno, Nevada	University of Nevada - Reno	 	No	No	None			Reno	Nevada	US	89512		
2179	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University			Criminal Justice	Yes	Yes	None								
2180	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Math	No	No	None								
2181	Administration	10	26.5	Management	26	Administration	10	26.5	Management	26	Male	R1	Research University	Boston, Massachusetts	Boston University		Unknown	Unknown	None			Boston	Massachusetts	US	02215		
2182	Faculty	7	16	Researcher	14	Administration	10	26.5	Management	26	Male	R1	Research University	(US)		Science	Unknown	Private	None					US			
2183	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Washington, DC	George Washington University	Chemistry	No	No	None			Washington	DC	US	20052		
2184	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Middle Eastern Studies	Unknown	Unknown	None								
2185	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College	(Oklahoma)			Yes	Yes	None		Oklahoma		Oklahoma	US			
2186	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Physics	Yes	Yes	None								
2187	Undergraduate Student	3	2	Undergraduate Student	2	Staff	6	14.5	Staff	14.5	Male	R1	Research University	Washington, DC	George Washington University		Yes	Yes	Yes			Washington	DC	US	20052		
2188	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	Burnaby, British Columbia	Simon Fraser University	Education	No	No	None			Burnaby	British Columbia	Canada	V5A	V5A	
2189	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Engineering	Unknown	Unknown	None								
2190	Staff	6	14.5	Staff	14.5	Staff	6	14.5	Staff	14.5	Male	Other University	Research University			Information Science	Yes	Yes	Yes								
2191	Staff	6	14.5	Staff	14.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Business 	Yes	Yes	None								
2192	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Regional Teaching College	Other College	Reno, Nevada	Truckee Meadows Community College	Science	Unknown	Unknown	Yes			Reno	Nevada	US	89512		
2193	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	(New Jersey)	Rutgers University	Art	Unknown	Unknown	None				New Jersey	US			
2194	Undergraduate Student	3	2	Undergraduate Student	2	Staff	6	14.5	Professional	17	Male	R1	Research University	Tucson, Arizona	University of Arizona		Yes	Yes	Yes			Tucson	Arizona	US	85719		
2195	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Social Sciences	Unknown	Private	None								
2196	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Oakland, California	Mills College	Economics	Unknown	Unknown	None			Oakland	California	US	94613		
2197	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	U15	Research University	Montréal, Québec	McGill University	Chemistry	Yes	Yes	None			Montréal	Québec	Canada	H3A	H3A	
2198	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Other University	Research University	Getafe, Spain	Universidad Carlos III de Madrid	Statistics	No	Private	None			Getafe	Madrid	Spain	28903	28903	
2199	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	(US)		Social Sciences	Yes	Yes	None					US			
2200	Graduate Student	4	6	Master Student	6.5	Faculty	7	16	Faculty	16	Male	R1	Research University	Tempe, Arizona	Arizona State University	Business 	No	No	None			Tempe	Arizona	US	85281		
2201	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Biochemistry	No	Private	None								
2202	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Student	2	1.5	Student	1.5	Male	Regional Teaching College	Other College	Long Beach, California	California State University	Social Sciences	Yes	Yes	Yes			Long Beach	California	US	90840		
2203	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Pittsburgh, Pennsylvania	University of Pittsburgh	Science	No	No	None			Pittsburgh	Pennsylvania	US	15261		
2204	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Boulder, Colorado	University of Colorado - Boulder	Math	No	No	None			Boulder	Colorado	US	80305		
2205	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Redlands, California	University of Redlands	History 	No	No	None			Redlands	California	US	92374		
2206	Staff	6	14.5	Staff	14.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University	Chapel Hill, North Carolina	University of North Carolina - Chapel Hill	Biology	No	No	None			Chapel Hill	North Carolina	US	27514		
2207	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Field Work	Conference & Field Work	(US)		Anthropology	No	Private	None					US			
2208	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Field Work	Conference & Field Work	(US)		Anthropology	No	Private	None					US			
2209	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	(US)		Anthropology	No	Private	None					US			
2210	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Other University	Research University	Toronto, Ontario	York University	Political Science	Yes	Yes	None			Toronto	Ontario	Canada	M3J	M3J	
2211	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work	Madison, Wisconsin	University of Wisconsin - Madison	Sociology	Unknown	Unknown	None			Madison	Wisconsin	US	53706		
2212	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Female	Other University	Research University				Yes	Yes	None								
2213	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	Ivy League	Research University	(US)		Science	Unknown	Unknown	None					US			
2214	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Fashion Marketing	Yes	Yes	Yes								
2215	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	Columbia, Missouri	University of Missouri - Columbia		Yes	Yes	Yes			Columbia	Missouri	US	65201		
2216	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Community College	Other College			Business 	No	No	None								
2217	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	New York, New York	Fashion Institute of Technology	Visual Presentation, Exhibition Design	No	No	None			New York	New York	US	10001		
2218	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Researcher	14	Male	Other University	Research University			Chemistry	No	No	None								
2219	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R2	Research University	DeKalb, Illinois	Northern Illinois University	Philosophy	Yes	Yes	None			DeKalb	Illinois	US	60115	60115	
2220	Undergraduate Student	3	2	Undergraduate Student	2	Graduate Student	4	6	Graduate Student	6	Male	R3	Research University	Worcester, Massachusetts	Clark University	Liberal Arts	Yes	Yes	None			Worcester	Massachusetts	US	01610	01610	
2221	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Business 	Yes	Yes	None								
2222	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Faculty	7	16	Faculty	16	Male	Small Liberal Arts College	Other College	Colorado Springs, Colorado	Colorado College	[Refuse to Answer]	Yes	Yes	None			Colorado Springs	Colorado	US	80903	80903	
2223	Staff	6	14.5	Staff	14.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Durham, North Carolina	Duke University	Science	No	No	None			Durham	North Carolina	US	27705	27705	
2224	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Madison, Wisconsin	University of Wisconsin - Madison	German	No	Private	None			Madison	Wisconsin	US	53706	53706	
2225	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Music	Unknown	Unknown	Unknown			Austin	Texas	US	78712	78712	
2226	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Male	Other University	Research University			Engineering	No	No	None								
2227	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University	Diversity And Inclusion	No	No	None			State College	Pennsylvania	US	16801	16801	
2228	Graduate Student	4	6	Graduate Student	6	Unknown	0	0	Unknown	0	Male	Unknown	Research University				Unknown	Unknown	Unknown								
